32334 ,	,+CLB
  55 okâwiya	nikâwiy+N+A+D+Px3Sg+Obv
  55 nôcikwêsiw	nôcikwêsiw+N+A+Sg
  55 maskisina	maskisin+N+I+Pl
  54 ê-takohtêt	PV/e+takohtêw+V+AI+Cnj+3Sg
  54 âyis	âyis+?
  54 pimiy	pimiy+N+I+Sg
  54 nêwo	nêwo+Ipc
  54 nikiskêyihtên	kiskêyihtam+V+TI+Ind+1Sg
  54 nicawâc	nicawâc+?
  54 kôhtâwînaw	nôhtâwiy+N+A+D+Px12Pl+Sg
  54 kî-isiyîhkâsow	kî-isiyîhkâsow+?
  53 îskwêw	îskwêw+?
  53 ê-itohtêt	PV/e+itohtêw+V+AI+Cnj+3Sg
  53 nitânis	nitânis+N+A+D+Px1Sg+Sg
  53 nimosôm	nimosôm+N+A+D+Px1Sg+Sg
  52 ôsisima	nôsisim+N+A+D+Px3Sg+Obv
  52 ê-kî-~	ê-kî-~+?
  52 ê-ayâcik	PV/e+ayâw+V+AI+Cnj+3Pl
  52 mîkiwâhpa	mîkiwâhp+N+I+Pl
  52 kapê-kîsik	kapê-kîsik+Ipc
  52 hay	hay+Ipc
  52 ayisiyiniwa	ayisiyiniw+N+A+Obv
  52 apisîs	apisîs+Ipc
  51 ̵~	̵~+?
  51 âni	âni+?
  51 wâpahki	wâpahki+Ipc
  51 tahto	tahto+Ipc
  51 otêma	nitêm+N+A+D+Px3Sg+Obv
  51 otânisa	nitânis+N+A+D+Px3Sg+Obv
  51 kinwêsk	kinwêsk+Ipc
  51 ispimihk	ispimihk+Ipc
  51 ayahciyiniwak	ayahciyiniw+N+A+Pl
  51 aya	aya+N+A+Obv
  50 ê-otâkosiniyik	PV/e+otâkosin+V+II+Cnj+4Sg
  50 kiyawâw	kiyawâw+Pron+Pers+2Pl
  49 êkwa_wiya	Iph
  49 ânohc	ânohc+?
  49 wîst	wîst+?
  49 pasikôw	pasikôw+V+AI+Ind+3Sg
  49 nôhkô	nôhkom+N+A+D+Voc+Sg
  49 mîkiwâhp	mîkiwâhp+N+I+Sg
  48 tapasîw	tapasîw+V+AI+Ind+3Sg
  48 osîhtâw	osîhtâw+V+TI+Ind+3Sg
  48 matwân_cî	Iph
  48 Lake	Lake+?
  47 ôhc	ôhc+?
  47 sâsay	sâsay+Ipc
  47 ostikwân	mistikwân+N+I+D+Px3Sg+Sg
  47 kâ	kâ+Ipc
  47 hây	hây+?
  46 tâpwê_piko	Iph
  46 osîmisa	nisîmis+N+A+D+Px3Sg+Obv
  46 nikâwîs	nikâwîs+N+A+D+Px1Sg+Sg
  46 anita	anita+Ipc
  45 ê-kî-itwêt	PV/e+PV/ki+itwêw+V+AI+Cnj+3Sg
  45 to	to+?
  45 nâpêsisa	nâpêsis+N+A+Obv
  44 ê-otinahk	PV/e+otinam+V+TI+Cnj+3Sg
  44 wâskahikan	wâskahikan+N+I+Sg
  44 sc	sc+?
  44 owîcêwâkana	niwîcêwâkan+N+A+D+Px3Sg+Obv
  44 omisa	nimis+N+A+D+Px3Sg+Obv
  44 nôsisimak	nôsisim+N+A+D+Px1Sg+Pl
  44 nôhtâ	nôhtâwiy+N+A+D+Voc+Sg
  44 kisêyiniwa	kisêyiniw+N+A+Obv
  44 kayâhtê	kayâhtê+Ipc
  44 iskwâhtêmihk	iskwâhtêm+N+I+Loc
  44 isiyîhkâsôw	isiyîhkâsôw+?
  43 ôt[a	ôt[a+?
  43 ê-wâpamât	PV/e+wâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
  43 takosin	takosin+V+AI+Ind+3Sg
  43 nititâwak	itêw+V+TA+Ind+1Sg+3PlO
  43 ha	ha+Ipc
  42 âcimowin	âcimowin+N+I+Sg
  42 pakahkam	pakahkam+Ipc
  42 otawâsimisiwâwa	nitawâsimis+N+A+D+Px3Pl+Obv
  42 ostêsimâw	ostêsimâw+N+A+Sg
  42 nîstanân	nîstanân+Pron+Pers+1Pl+Incl
  42 kakêtihk	kakêtihk+?
  42 and	and+?
  42 acosisa	acosis+N+A+Obv
  41 wîkiwâw	nîki+N+I+D+Px3Pl+Sg
  41 tâpitawi	tâpitawi+Ipc
  41 osîmimâw	osîmimâw+N+A+Sg
  41 osk-âyak	osk-âya+N+A+Pl
  41 nâha	awa+Pron+Dem+Dist+A+Sg
  41 môy_wîhkât	Iph+Neg
  41 macihkiwis	macihkiwis+N+A+Sg
  41 kâhkêwakwa	kâhkêwak+N+I+Pl
  41 kisiwâsiw	kisiwâsiw+V+AI+Ind+3Sg
  40 ôho	ôho+?
  40 wîpac	wîpac+Ipc
  40 nisto	nisto+Ipc
  40 ninahâhkisîm	ninahâhkisîm+N+A+D+Px1Sg+Sg
  40 môhkomân	môhkomân+N+I+Sg
  40 k-âtotamân	k-âtotamân+?
  40 itohtêwak	itohtêw+V+AI+Ind+3Pl
  40 hê	hê+?
  39 âniki	âniki+?
  39 wâposwa	wâpos+N+A+Obv
  39 tipiskâyiw	tipiskâw+V+II+Ind+4Sg
  39 sihkihp	sihkihp+N+A+Sg
  39 pîtos	pîtos+Ipc
  39 nitawâsimisitik	nitawâsimisitik+?
  39 miyêw	miyêw+V+TA+Ind+3Sg+4Sg/PlO
  39 mitâtaht	mitâtaht+Ipc
  38 êkâ_kîkway	Ipn+Neg
  38 wâpamêwak	wâpamêw+V+TA+Ind+3Pl+4Sg/PlO
  38 they	they+?
  38 pîhcâyihk	pîhcâyihk+?
  38 ohcitaw	ohcitaw+Ipc
  38 miyosiw	miyosiw+V+AI+Ind+3Sg
  38 hâh	hâh+?
  38 ayahciyiniw	ayahciyiniw+N+A+Sg
  38 2	Arab+Quant
  38 1	Arab+Quant
  37 ê-pimohtêt	PV/e+pimohtêw+V+AI+Cnj+3Sg
  37 âyi	âyi+?
  37 âh	âh+Ipc
  37 that	that+?
  37 takohtêw	takohtêw+V+AI+Ind+3Sg
  37 pahkêkinwa	pahkêkin+N+I+Pl
  37 nipîhk	nipiy+N+I+Loc
  37 nimisê	nimis+N+A+D+Voc+Sg
  37 môy_nânitaw	Iph+Neg
  37 mwêstas	mwêstas+Ipc
  37 mistanask	mistanask+N+A+Sg
  37 kêhcinâ	kêhcinâ+Ipc
  37 k-êtwêt	k-êtwêt+?
  37 iyâyaw	iyâyaw+Ipc
  36 êkotôwahk	êkotôwahk+?
  36 ê-tipiskâk	PV/e+tipiskâw+V+II+Cnj+3Sg
  36 ê-kiskisiyân	PV/e+kiskisiw+V+AI+Cnj+1Sg
  36 pâskisikan	pâskisikan+N+I+Sg
  36 kâ-~	kâ-~+?
  36 aya	aya+N+A+Sg
  36 asiniya	asiniy+N+A+Obv
  36 4	Arab+Quant
  36 3	Arab+Quant
  35 êyakonik	êyakonik+?
  35 êtik	êtik+?
  35 was	was+?
  35 nêhiyawa	nêhiyaw+N+A+Obv
  35 nitawâsimisak	nitawâsimis+N+A+D+Px1Sg+Pl
  35 nimiywêyihtên	miywêyihtam+V+TI+Ind+1Sg
  35 mâtôw	mâtôw+?
  35 cistêmâw	cistêmâw+N+A+Sg
  34 ê-nipât	PV/e+nipâw+V+AI+Cnj+3Sg
  34 ê-ayâyit	PV/e+ayâw+V+AI+Cnj+4Sg/Pl
  34 âstam	âstam+Ipc
  34 wawêyîw	wawêyîw+V+AI+Ind+3Sg
  34 sîpîhk	sîpiy+N+I+Loc
  34 recording	recording+?
  34 osâm_mistahi	Iph
  34 oskinîkiskwêwak	oskinîkiskwêw+N+A+Pl
